entity,product,quarter,gl_balance,gl_account,as_of_date
US Retail Bank,Mortgage,2025Q1,37974514.0,GL-H1-4876,2025-03-31
US Retail Bank,Mortgage,2025Q2,39379571.0,GL-H1-4876,2025-06-30
US Retail Bank,Auto Loan,2025Q1,2761746.0,GL-H2-2979,2025-03-31
US Retail Bank,Auto Loan,2025Q2,2863931.0,GL-H2-2979,2025-06-30
US Retail Bank,Credit Card,2025Q1,851227.0,GL-D1-1230,2025-03-31
US Retail Bank,Credit Card,2025Q2,882722.0,GL-D1-1230,2025-06-30
US Retail Bank,Personal Loan,2025Q1,1538092.0,GL-H2-7709,2025-03-31
US Retail Bank,Personal Loan,2025Q2,1595001.0,GL-H2-7709,2025-06-30
US Retail Bank,HELOC,2025Q1,8244426.0,GL-H1-8354,2025-03-31
US Retail Bank,HELOC,2025Q2,8549470.0,GL-H1-8354,2025-06-30
US Retail Bank,Small Business Loan,2025Q1,14505805.0,GL-A7-9961,2025-03-31
US Retail Bank,Small Business Loan,2025Q2,15042520.0,GL-A7-9961,2025-06-30
US Wealth Mgmt,Mortgage,2025Q1,25601173.0,GL-H1-2055,2025-03-31
US Wealth Mgmt,Mortgage,2025Q2,26548416.0,GL-H1-2055,2025-06-30
US Wealth Mgmt,Auto Loan,2025Q1,1611756.0,GL-H2-4403,2025-03-31
US Wealth Mgmt,Auto Loan,2025Q2,1671391.0,GL-H2-4403,2025-06-30
US Wealth Mgmt,Credit Card,2025Q1,296475.0,GL-D1-5701,2025-03-31
US Wealth Mgmt,Credit Card,2025Q2,307445.0,GL-D1-5701,2025-06-30
US Wealth Mgmt,Personal Loan,2025Q1,605021.0,GL-H2-5815,2025-03-31
US Wealth Mgmt,Personal Loan,2025Q2,627407.0,GL-H2-5815,2025-06-30
US Wealth Mgmt,HELOC,2025Q1,4068489.0,GL-H1-7705,2025-03-31
US Wealth Mgmt,HELOC,2025Q2,4219024.0,GL-H1-7705,2025-06-30
US Wealth Mgmt,Small Business Loan,2025Q1,3117349.0,GL-A7-2855,2025-03-31
US Wealth Mgmt,Small Business Loan,2025Q2,3232691.0,GL-A7-2855,2025-06-30
US Card Services,Mortgage,2025Q1,28079684.0,GL-H1-7993,2025-03-31
US Card Services,Mortgage,2025Q2,29118632.0,GL-H1-7993,2025-06-30
US Card Services,Auto Loan,2025Q1,2744599.0,GL-H2-1232,2025-03-31
US Card Services,Auto Loan,2025Q2,2846149.0,GL-H2-1232,2025-06-30
US Card Services,Credit Card,2025Q1,676671.0,GL-D1-2977,2025-03-31
US Card Services,Credit Card,2025Q2,701708.0,GL-D1-2977,2025-06-30
US Card Services,Personal Loan,2025Q1,1301605.0,GL-H2-5038,2025-03-31
US Card Services,Personal Loan,2025Q2,1349764.0,GL-H2-5038,2025-06-30
US Card Services,HELOC,2025Q1,5056319.0,GL-H1-4515,2025-03-31
US Card Services,HELOC,2025Q2,5243402.0,GL-H1-4515,2025-06-30
US Card Services,Small Business Loan,2025Q1,8908939.0,GL-A7-2780,2025-03-31
US Card Services,Small Business Loan,2025Q2,9238570.0,GL-A7-2780,2025-06-30
US Small Business Bank,Mortgage,2025Q1,15505265.0,GL-H1-3463,2025-03-31
US Small Business Bank,Mortgage,2025Q2,16078960.0,GL-H1-3463,2025-06-30
US Small Business Bank,Auto Loan,2025Q1,1399661.0,GL-H2-2995,2025-03-31
US Small Business Bank,Auto Loan,2025Q2,1451449.0,GL-H2-2995,2025-06-30
US Small Business Bank,Credit Card,2025Q1,328105.0,GL-D1-7379,2025-03-31
US Small Business Bank,Credit Card,2025Q2,340245.0,GL-D1-7379,2025-06-30
US Small Business Bank,Personal Loan,2025Q1,810449.0,GL-H2-7265,2025-03-31
US Small Business Bank,Personal Loan,2025Q2,840436.0,GL-H2-7265,2025-06-30
US Small Business Bank,HELOC,2025Q1,3059754.0,GL-H1-2288,2025-03-31
US Small Business Bank,HELOC,2025Q2,3172964.0,GL-H1-2288,2025-06-30
US Small Business Bank,Small Business Loan,2025Q1,3987903.0,GL-A7-1447,2025-03-31
US Small Business Bank,Small Business Loan,2025Q2,4135456.0,GL-A7-1447,2025-06-30
US Private Bank,Mortgage,2025Q1,33116485.0,GL-H1-9949,2025-03-31
US Private Bank,Mortgage,2025Q2,34341795.0,GL-H1-9949,2025-06-30
US Private Bank,Auto Loan,2025Q1,1531204.0,GL-H2-5637,2025-03-31
US Private Bank,Auto Loan,2025Q2,1587858.0,GL-H2-5637,2025-06-30
US Private Bank,Credit Card,2025Q1,331723.0,GL-D1-6770,2025-03-31
US Private Bank,Credit Card,2025Q2,343997.0,GL-D1-6770,2025-06-30
US Private Bank,Personal Loan,2025Q1,709466.0,GL-H2-9907,2025-03-31
US Private Bank,Personal Loan,2025Q2,735716.0,GL-H2-9907,2025-06-30
US Private Bank,HELOC,2025Q1,2982587.0,GL-H1-8646,2025-03-31
US Private Bank,HELOC,2025Q2,3092943.0,GL-H1-8646,2025-06-30
US Private Bank,Small Business Loan,2025Q1,6212934.0,GL-A7-4089,2025-03-31
US Private Bank,Small Business Loan,2025Q2,6442813.0,GL-A7-4089,2025-06-30
